Clanmate;Points;Fragments
Total;58344450;1650
Safa2017;1540000;44
Arch;1540000;44
TurinTurambar;1375000;39
Seven87;1358500;38
Coris;1183000;33
Sailv;1183000;33
StellaVlst;1183000;33
Keleth;1183000;33
Ironwind;1183000;33
Veverka;1056250;30
Tracker;954850;27
Godfather;946000;27
Donkey Muffins;946000;27
Vudogore;910000;26
Karen;910000;26
Heof;910000;26
kremlin;910000;26
Defur;910000;26
nicklaus;910000;26
Grikelv;910000;26
Mel;910000;26
Rain Fire;910000;26
Buzafym;910000;26
Bebur;910000;26
abdelrhman;910000;26
Maffy;851500;24
Frostworker;832000;24
Mikasa;793000;22
arcael;754000;21
Sharpstone;754000;21
Rainterror;726700;21
MBY;715000;20
Shadowbringer SK;704000;20
Graveleye;700000;20
Deli;700000;20
ozin blesin;700000;20
Andromeda;695500;20
Mikashura;692900;20
RATTUS;689000;19
KaLisi;686400;19
Alessa;686400;19
Ladislaus;684450;19
WaDa;663000;19
ZAR;656500;19
Finimini1;638000;18
Malik2203;629200;18
Harald B;617500;17
Luchdaing;598000;17
Earfiren;598000;17
Sengul;591500;17
behzadddddd;585000;17
Shak2;572000;16
Mekil;572000;16
wodessen;565500;16
Ceciel;559000;16
Ghost;540800;15
Giulio Cesare;540800;15
WADA;532350;15
xoana;520000;15
Kekelv;515450;15
Fankayel;473200;13
The1;455000;13
Meninad;455000;13
Magnuss;442000;12
alking1;405600;11
Mofym;400400;11
seven87;396000;11
Anzhelika;395000;11
Rza;371800;11
Eydaen;371800;11
WadA;364000;10
Pudge;364000;10
CRAIOVA;350000;10
Cassio;350000;10
Rambam;338000;10
Max Mayhem;338000;10
Chiarka;308000;9
Dontrius;304200;9
Venya;286000;8
Arazuru;270400;8
Oliviaa;260000;7
Lightscar;260000;7
Arvilla;260000;7
Baco;208000;6
Athena;182000;4
Mirathis;169000;4
Gleladod;156000;4
Mohamed;0;0
Paulitouno;0;0
Raven;0;0
Cordanaya;0;0
Eloise;0;0
ZumiroNoia;0;0
Legolas;0;0
Destro;0;0
Mirtathis2;0;0
